Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-82,04-DA-D2-90-09-61,-82
Available,SDN_SCADA,-85,B8-27-EB-20-A7-65,-85
Available,eduroam,-70,CC-16-7E-13-20-81,-67
Available,eduroam,-78,04-DA-D2-AA-5B-81,-74
Available,eduroam,-79,04-DA-D2-AA-5B-8E,-77
Available,eduroam,-63,50-06-04-5B-3E-C1,-63
Available,eduroam,-83,20-BB-C0-4B-9E-C1,-79
Available,eduroam,-86,50-2F-A8-DC-D5-C1,-86
Available,WiFi-AP,-83,8C-3B-AD-13-93-CB,-80
Available,eduroam,-85,50-06-04-5B-3E-CE,-85
Available,eduroam,-54,50-06-04-66-8C-D1,-49
Connected,eduroam,-53,50-06-04-66-8C-DE,-51
Available,eduroam,-67,50-06-04-5B-45-E1,-61
Available,eduroam,-73,50-06-04-5B-45-EE,-70
Available,eduroam,-91,50-06-04-66-71-F1,-91
Available,SDN_SCADA,-70,B8-27-EB-20-A7-65,-64
Available,eduroam,-73,04-DA-D2-AA-5B-81,-69
Available,eduroam,-71,04-DA-D2-AA-5B-8E,-67
Available,ClickShare-dir101,-89,28-24-FF-04-5D-AF,-89
Available,eduroam,-72,20-BB-C0-4B-9E-C1,-60
Available,eduroam,-80,50-2F-A8-DC-D5-C1,-80
Available,WiFi-AP,-70,8C-3B-AD-13-93-CB,-64
Available,eduroam,-72,20-BB-C0-4B-9E-CE,-72
Available,eduroam,-81,50-2F-A8-DC-D5-CE,-81
Available,eduroam,-56,50-06-04-66-8C-D1,-56
Connected,eduroam,-54,50-06-04-66-8C-DE,-54
Available,SDN_SCADA,-78,B8-27-EB-20-A7-65,-75
Available,eduroam,-77,04-DA-D2-AA-5B-81,-77
Available,eduroam,-81,04-DA-D2-AA-5B-8E,-78
Available,eduroam,-74,50-06-04-5B-3E-C1,-71
Available,eduroam,-83,20-BB-C0-4B-9E-C1,-73
Available,WiFi-AP,-72,8C-3B-AD-13-93-CB,-69
Available,eduroam,-89,20-BB-C0-4B-9E-CE,-85
Available,eduroam,-44,50-06-04-66-8C-D1,-36
Connected,eduroam,-41,50-06-04-66-8C-DE,-39
Available,eduroam,-85,50-06-04-5B-45-E1,-79
Available,eduroam,-86,50-06-04-5B-45-EE,-85
