Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-80,50-06-04-5B-43-01,-77
Available,eduroam,-71,50-06-04-66-69-51,-71
Available,eduroam,-77,50-06-04-66-8B-51,-73
Available,eduroam,-72,50-06-04-66-69-5E,-72
Available,eduroam,-78,50-06-04-66-8B-5E,-78
Available,eduroam,-79,04-DA-D2-90-09-61,-78
Available,camko,-75,F8-D1-11-4A-6F-66,-75
Available,eduroam,-83,04-DA-D2-90-09-6E,-83
Available,eduroam,-75,50-06-04-5B-1F-81,-74
Available,eduroam,-74,50-06-04-5B-1F-8E,-73
Available,eduroam,-66,20-BB-C0-4B-A1-B1,-66
Available,eduroam,-75,20-BB-C0-4B-A1-BE,-69
Available,eduroam,-46,20-BB-C0-4B-97-C1,-42
Connected,eduroam,-43,20-BB-C0-4B-97-CE,-43
Available,eduroam,-70,50-06-04-5B-43-01,-69
Available,eduroam,-78,50-06-04-5B-43-0E,-71
Available,1114,-90,94-83-C4-1E-D9-27,-88
Available,eduroam,-64,50-06-04-66-8B-51,-62
Available,eduroam,-80,50-06-04-66-69-5E,-80
Available,eduroam,-72,50-06-04-66-8B-5E,-71
Available,eduroam,-71,04-DA-D2-90-09-61,-71
Available,eduroam,-84,04-DA-D2-90-09-6E,-81
Available,eduroam,-78,04-DA-D2-AA-5B-81,-78
Available,eduroam,-82,50-06-04-5B-1F-8E,-82
Available,eduroam,-78,20-BB-C0-4B-A1-B1,-77
Available,eduroam,-85,20-BB-C0-4B-A1-BE,-82
Available,eduroam,-47,20-BB-C0-4B-97-C1,-41
Connected,eduroam,-48,20-BB-C0-4B-97-CE,-43
Available,eduroam,-80,50-06-04-5B-43-01,-78
Available,eduroam,-68,50-06-04-66-8B-51,-67
Available,eduroam,-81,50-06-04-66-69-5E,-81
Available,eduroam,-74,50-06-04-66-8B-5E,-74
Available,eduroam,-81,04-DA-D2-90-09-61,-71
Available,camko,-82,F8-D1-11-4A-6F-66,-79
Available,eduroam,-79,04-DA-D2-90-09-6E,-79
Available,eduroam,-84,50-06-04-5B-1F-8E,-78
Available,eduroam,-83,20-BB-C0-4B-A1-B1,-69
Available,eduroam,-83,20-BB-C0-4B-A1-BE,-79
Available,eduroam,-43,20-BB-C0-4B-97-C1,-40
Connected,eduroam,-38,20-BB-C0-4B-97-CE,-33
