Status,SSID,RSSI,MAC Address,Max RSSI
Available,eduroam,-87,50-06-04-5B-3E-01,-77
Available,eduroam,-74,50-06-04-5B-28-11,-70
Available,eduroam,-86,50-06-04-5B-28-1E,-83
Available,eduroam,-42,20-BB-C0-4B-9E-31,-39
Connected,eduroam,-42,20-BB-C0-4B-9E-3E,-42
Available,eduroam,-72,20-BB-C0-4B-D5-51,-67
Available,eduroam,-71,20-BB-C0-4B-D5-5E,-67
Available,eduroam,-42,50-06-04-5B-1C-61,-40
Available,eduroam,-38,50-06-04-5B-1C-6E,-38
Available,eduroam,-77,20-BB-C0-4B-97-B1,-76
Available,eduroam,-83,CC-16-7E-15-F2-B1,-83
Available,eduroam,-86,20-BB-C0-4B-97-BE,-82
Available,eduroam,-81,50-06-04-5B-28-11,-76
Available,eduroam,-79,50-06-04-5B-28-1E,-79
Available,eduroam,-81,20-BB-C0-4B-D7-21,-81
Available,eduroam,-43,20-BB-C0-4B-9E-31,-40
Connected,eduroam,-39,20-BB-C0-4B-9E-3E,-38
Available,eduroam,-68,20-BB-C0-4B-D5-51,-68
Available,eduroam,-69,20-BB-C0-4B-D5-5E,-67
Available,eduroam,-50,50-06-04-5B-1C-61,-50
Available,eduroam,-44,50-06-04-5B-1C-6E,-43
Available,eduroam,-69,50-06-04-5B-28-11,-69
Available,eduroam,-74,50-06-04-5B-28-1E,-72
Available,eduroam,-89,20-BB-C0-4B-D7-21,-85
Available,eduroam,-52,20-BB-C0-4B-9E-31,-52
Connected,eduroam,-44,20-BB-C0-4B-9E-3E,-44
Available,eduroam,-62,20-BB-C0-4B-D5-51,-62
Available,eduroam,-65,20-BB-C0-4B-D5-5E,-63
Available,eduroam,-40,50-06-04-5B-1C-61,-40
Available,eduroam,-44,50-06-04-5B-1C-6E,-44
