Status,SSID,RSSI,MAC Address,Max RSSI
Connected,eduroam,-52,20-BB-C0-4B-D7-21,-47
Available,eduroam,-43,20-BB-C0-4B-D7-2E,-41
Available,eduroam,-88,20-BB-C0-4B-9E-31,-88
Available,Réseau Wi-Fi MMS,-70,28-CF-DA-B6-63-51,-69
Available,eduroam,-72,20-BB-C0-4B-D5-51,-67
Available,Réseau Wi-Fi MMS,-83,28-CF-DA-B6-63-52,-80
Available,eduroam,-77,20-BB-C0-4B-D5-5E,-68
Available,eduroam,-85,50-06-04-5B-1C-6E,-81
Available,eduroam,-69,20-BB-C0-4B-9F-81,-64
Available,eduroam,-74,20-BB-C0-4B-9F-8E,-66
Available,eduroam,-40,20-BB-C0-4B-97-B1,-40
Available,eduroam,-39,20-BB-C0-4B-97-BE,-36
Connected,eduroam,-48,20-BB-C0-4B-D7-21,-43
Available,eduroam,-40,20-BB-C0-4B-D7-2E,-37
Available,eduroam,-85,20-BB-C0-4B-9E-31,-85
Available,eduroam,-67,20-BB-C0-4B-D5-51,-67
Available,eduroam,-71,20-BB-C0-4B-9F-81,-71
Available,eduroam,-71,20-BB-C0-4B-9F-8E,-68
Available,eduroam,-53,20-BB-C0-4B-97-B1,-49
Available,eduroam,-47,20-BB-C0-4B-97-BE,-44
Available,WiFi-AP,-87,8C-3B-AD-13-93-CB,-80
Connected,eduroam,-44,20-BB-C0-4B-D7-21,-44
Available,eduroam,-41,20-BB-C0-4B-D7-2E,-38
Available,eduroam,-84,20-BB-C0-4B-9E-31,-84
Available,Réseau Wi-Fi MMS,-78,28-CF-DA-B6-63-51,-76
Available,eduroam,-70,20-BB-C0-4B-D5-51,-69
Available,eduroam,-71,20-BB-C0-4B-D5-5E,-69
Available,eduroam,-85,50-06-04-5B-1C-61,-84
Available,eduroam,-68,20-BB-C0-4B-9F-81,-66
Available,eduroam,-65,20-BB-C0-4B-9F-8E,-63
Available,eduroam,-48,20-BB-C0-4B-97-B1,-41
Available,eduroam,-41,20-BB-C0-4B-97-BE,-41
